u,v,d
1723738829,295218284,4372.973306065914
65352367,65340889,2701.3670050171418
65325177,65297386,7226.039570505666
65336401,65350760,7230.8084219612465
65313186,346530939,7607.867289525835
65323543,65313523,1694.1630396966311
263146473,65280076,8730.744042394981
5840630953,65349622,2284.4010030002255
334220690,4044866184,8459.3153435582
65343295,65310651,5169.049672005468
65289280,2399950829,10338.52266958303
1712523413,65344106,918.6867390752528
4012499534,3714677160,9392.320310039113
6367994027,65335545,3610.542660862955
65365036,65340952,4828.952668047873
65366859,65344990,10770.645337527534
65344439,258911600,12876.322639309441
65292623,65294780,15739.336232750147
65337375,260494532,7637.295567812802
65312672,65327388,1768.8377573082553
65307974,65358843,7408.2357856592125
65326564,65292373,2673.2663695046044
9525854874,65302401,inf
65296478,11306603765,5447.1283732422335
65308526,65301479,7978.929279098204
65334999,65328021,5099.928751508317
276545995,65358430,5892.292320552273
65369307,1511324675,6973.267551840265
65313365,842953158,3085.2510995309312
65341411,65327176,6759.990323985495
539989856,65324940,2275.6220099392117
65317971,65304997,3069.369344357602
65307897,65359321,10875.120920661526
65319667,65336788,6588.471801100287
65291780,65306766,4540.741027797113
65307208,65323354,9735.868373204083
65353316,65352503,11779.012237299256
65340476,65342705,2432.620175105214
1921696316,1367901704,5340.032246005148
65309953,65280896,3484.5026207688634
280836272,65340935,11410.52680371098
65316422,258964510,5363.505463407914
65281752,65366259,4284.146764114479
65320125,65313837,7724.855449114044
65322168,65293062,5457.405447220988
5352470007,65297246,4182.70094398215
65292242,65287179,8529.371005408932
65287762,65323563,3036.47285474062
65308478,9660046406,3432.4226551360434
65297014,65307803,7743.588560294295
65283131,65348841,7445.652414768307
4069129312,65312295,7847.701176195508
65306240,65316575,4680.795165994406
1809551380,65304983,874.2609697540712
11198963471,2630856793,4835.486261971627
65335530,65287277,1962.0102143868182
65337401,65318438,9222.104999684325
300781672,6903647260,8666.814621102832
10790836779,65308085,6480.1588360348715
2511971962,65323722,872.5142131016655
65302699,54891446,6331.291802121918
1108824627,65299765,12488.292461616653
65285599,65313348,9118.336601437133
258759756,260494532,4646.826913978961
65280157,65291247,11869.705579160156
65343468,65324428,2179.028169110191
65328712,4035851800,13168.464766024344
65319039,65320655,11706.015541679488
6910272811,65291490,7074.9426287514625
65322273,1472038601,3758.843790036118
65311003,65318231,9279.157137053367
332786680,65361785,10017.762122321868
1607089647,65341656,935.4531664639317
65320109,65334611,12729.812055138515
2327653238,65327512,2360.1035853362073
1555295542,65309715,2940.826592928518
65319532,9096921104,7451.806440071637
65315986,65303914,9269.360744274432
65302755,65290178,7869.147212909445
258965257,65311028,5916.375981930598
3978798074,12057180196,1841.8067119211833
1735964731,590607921,9886.309454830693
65318549,311781835,7598.082243800654
2511971962,65343053,10199.42888883898
65290711,65304068,6528.247856194963
4061762656,65327809,7743.279201566651
65302782,65362632,3794.5368464410512
65341350,65336383,inf
65299171,65336528,7658.527247369172
766948591,65353320,9463.657388850364
65284015,65299662,7221.96177564243
65308508,65309896,6342.872111637783
8548046106,65306766,8884.262309227031
65318505,65362171,7014.272288660388
3645308400,65299842,6915.725766960327
65306226,65351083,2112.5120939700555
65375711,65306764,9467.49950841716
65324869,65318612,1427.84362821154
65326154,65319877,5915.293181508546
65350556,3526885166,inf
65330300,65324748,4971.987027548047
65308328,65332678,3900.014001862302
65312028,258909673,11560.898796059488
65330935,65335720,4134.73486711183
65314447,5839244981,6591.835897630273
6378899315,65288014,5633.594899054608
65309992,65302203,2686.8540333986357
258757435,65295415,5076.868783977603
65317959,65309093,7218.385320800017
65330421,65324780,9337.99662015567
259754578,258973960,4207.2925745063
65333260,258967897,3270.639174164074
6910182909,65348340,2402.8485788693724
65340358,65302909,10732.660243158538
65327086,1378125513,5152.6508391456155
65293103,65302778,3030.7031144988173
258910909,65328644,10841.15357726203
65334838,65316021,6563.732232295758
65292695,65308693,9353.803025953595
1196830001,360423918,6626.083560662458
258964508,65351094,2488.8341067971573
65337793,8076008490,18966.32800208775
65353316,65299984,10725.654787796831
830559286,65327169,8920.694697532183
1707855260,263991315,5596.303201080764
65332225,65340939,6815.573051310926
65318470,767859211,15350.850685540032
1767172819,65328710,6062.272011021458
65366081,65311136,5807.629878958194
303450506,65355983,6181.633216890026
300752968,360423920,2114.496490076651
65340851,65346174,5121.744198357776
65364279,6386556292,3736.525947989133
258910951,65324428,12169.534184257676
360423920,258755558,2758.071622194581
279669394,65318005,7139.01392310872
65317738,260170257,9781.212265402783
65357033,258911602,8352.34385376002
65330797,65305922,1494.0231874970827
6330274394,65292364,7118.178880852965
4073064106,258973940,3397.2871196495003
258972866,65319895,3687.154475020001
65308478,358897396,7095.737774774874
65319637,65335166,759.6260487901827
65330717,258912613,5790.830209538664
65285050,65329103,5125.253747418954
6360770043,313880650,8916.910935021373
65295061,258972095,11296.816926962292
5343465959,65336806,3834.190577733043
2315778350,601217513,7712.894690504188
65354018,313880650,3803.32659146106
276546202,65307248,3601.45116013726
65304999,65311875,6624.122296903013
2249911790,65296192,1641.4479559603742
65293930,65332476,3418.264282543227
65332776,258922160,10047.040557007645
260336115,65295474,6360.2478396981105
267455446,65337555,6916.506319599991
65295598,65300568,8032.220242315513
65353309,4023019243,6275.3305088931875
65369521,65299735,7970.678514638988
65298742,65349683,5269.811598524039
258758550,65341968,9421.457029891282
2511971979,65322741,1672.5138896515673
1268623487,65307716,15638.135834883771
65308380,65294139,3630.9493349803042
65330054,65318050,5565.849606440229
4086113592,65302340,10556.70247403262
65339079,65319539,9742.371355085557
65317192,4035891345,10239.00859089064
309032088,65366246,inf
65327989,65298191,4323.29902010176
65294235,65298522,6455.138627017861
65295181,65336788,11735.478163083906
9580454512,65288324,10197.639579288898
767846598,65319526,8237.42686530641
65312708,332786709,2824.78403597101
65313067,65336188,3888.9213214151214
258911593,767815833,6675.649047413854
6777308246,65341548,8098.988406978349
65308530,258755842,6396.382384267461
65298367,65292288,9348.355058800513
65309032,1460324040,4246.752568297234
65296850,65337881,9023.71313668675
832777303,65348304,3121.925215381745
65372811,65330436,3015.7529864984685
5826304536,65322656,2837.9090790501477
4021327368,65294782,17299.35649029793
65347919,65336801,15007.873036485433
258755838,258909669,7409.929693278722
4008988342,65289310,3158.121068024555
259139934,12952646361,11637.984464790046
65316785,65279893,10064.52915450785
12471737476,65296086,10230.42656243322
65307956,65289347,10091.274239917919
65312126,440322586,6253.543750795554
65351872,890045127,8141.733967216217
65293202,65302164,5853.268664058168
279669361,65301453,9397.114737893382
65341548,65345518,10512.177328324142
65288985,4035874408,10641.852548714724
65293880,65349151,6518.204699926406
65292192,65318999,8347.362721036745
65340872,65284748,3210.180208783525
275511769,65298903,5387.5284790119085
65349456,1682973008,2162.8475089262242
65288851,65294693,4307.154399678814
65337616,65305815,7487.867067755011
65297490,1677798440,3420.523004315703
65304399,65304901,6286.206145583579
65318263,65313889,12042.314105381538
65324940,65348409,4503.456109463547
65299568,2317635181,7833.510156598316
65358925,65327813,6067.157277889866
65318524,65345554,8390.854321975197
65343941,313867819,6330.647910535397
259392510,65317565,9312.068478415451
65303340,258911656,6642.134177322683
65311869,65280094,5261.87363070874
65292704,65360819,6011.926122259133
65347585,1677788932,5864.040615487279
315429861,65325784,8220.934956354202
65294780,65368973,12273.857769164992
65336592,12469082489,10257.822030955595
65293588,678279139,4005.0646297129506
65312657,65333144,10580.555070885128
